id,language,gender_context,category,student_statement,advisor_reply
180,RomanUrdu,Neutral,Administrative Issues,Teacher change request process clear nahi hai,Advisor se guide lein aur semester pause consider karein
181,Mixed,Female,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Medical certificate submit karein aur semester freeze request karein. Advisor ne recommend kiya hai semester freeze lene ke liye
182,RomanUrdu,Neutral,Mental Health,Stress ki wajah se exams par focus nahi ho raha,Semester freeze allow hoti hai stress aur burnout ke cases me
183,English,Male,Medical Issues,Medical condition ki wajah se campus ana possible nahi,Semester freeze submit karen taake aap recovery pe focus karein
184,RomanUrdu,Male,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
185,English,Female,Mental Health,Mentally drained hoon aur semester manage nahi kar pa raha,Semester freeze ke dauran rest aur recovery pe focus karein
186,RomanUrdu,Female,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
187,RomanUrdu,Neutral,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi,Temporary semester freeze request karein safety ke liye
188,RomanUrdu,Neutral,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
189,RomanUrdu,Neutral,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
190,English,Neutral,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
191,English,Neutral,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
192,RomanUrdu,Female,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
193,Mixed,Male,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar aap family support kar sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
194,English,Female,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
195,English,Male,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
196,English,Male,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
197,English,Male,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
198,RomanUrdu,Neutral,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
199,English,Neutral,Administrative Issues,Degree extension ka issue hai aur guidance chahiye,Semester freeze ke sath degree extension process initiate karein
200,RomanUrdu,Male,Academic Issues,I dropped many courses and now I am confused what to enroll next,Academic advisor se consult karein aur proper enrollment plan banayein
201,Mixed,Male,Administrative Issues,Degree extension ka issue hai aur guidance chahiye. Is liye semester freeze request kar raha/rahi hoon,Semester freeze ke sath degree extension process initiate karein. Advisor ne recommend kiya hai semester freeze lene ke liye
202,RomanUrdu,Male,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
203,RomanUrdu,Male,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
204,Mixed,Male,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein jab tak transport restore na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
205,English,Neutral,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
206,RomanUrdu,Female,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha,Semester pause karna aapke liye beneficial hoga
207,English,Female,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
208,RomanUrdu,Neutral,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha,Semester pause karna aapke liye beneficial hoga
209,Mixed,Neutral,Mental Health,Depression ki wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Advisor ke saath discuss karein aur semester freeze lein. Advisor ne recommend kiya hai semester freeze lene ke liye
210,English,Female,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
211,English,Neutral,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
212,RomanUrdu,Female,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
213,English,Male,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
214,Mixed,Male,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause kar sakte hain jab tak facility arrange na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
215,English,Female,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi,Office se clarify karein aur request submit karein
216,English,Female,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha",Semester freeze ke dauran CGPA improve karne ka plan banayein
217,RomanUrdu,Female,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha,Late fine waiver ya installment ke liye office se contact karein
218,Mixed,Neutral,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request kar sakte hain jab timetable adjust ho. Advisor ne recommend kiya hai semester freeze lene ke liye
219,Mixed,Neutral,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai maternity reasons me. Advisor ne recommend kiya hai semester freeze lene ke liye
220,Mixed,Male,Academic Issues,I dropped many courses and now I am confused what to enroll next. Is liye semester freeze request kar raha/rahi hoon,Academic advisor se consult karein aur proper enrollment plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
221,Mixed,Female,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause kar sakte hain jab tak facility arrange na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
222,English,Male,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
223,English,Neutral,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
224,RomanUrdu,Male,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai,Semester pause allow hoti hai family care ke liye
225,Mixed,Male,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze le kar responsibilities manage karein. Advisor ne recommend kiya hai semester freeze lene ke liye
226,English,Female,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
227,English,Male,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi,Semester freeze request karein childcare ke liye
228,Mixed,Male,Medical Issues,Medical condition ki wajah se campus ana possible nahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze submit karen taake aap recovery pe focus karein. Advisor ne recommend kiya hai semester freeze lene ke liye
229,English,Female,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha,Semester pause karna aapke liye beneficial hoga
230,RomanUrdu,Neutral,Academic Issues,I dropped many courses and now I am confused what to enroll next,Academic advisor se consult karein aur proper enrollment plan banayein
231,English,Male,Administrative Issues,Degree extension ka issue hai aur guidance chahiye,Semester freeze ke sath degree extension process initiate karein
232,RomanUrdu,Female,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
233,RomanUrdu,Female,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
234,RomanUrdu,Neutral,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
235,RomanUrdu,Neutral,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
236,RomanUrdu,Male,Mental Health,Stress ki wajah se exams par focus nahi ho raha,Semester freeze allow hoti hai stress aur burnout ke cases me
237,Mixed,Neutral,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request kar sakte hain jab timetable adjust ho. Advisor ne recommend kiya hai semester freeze lene ke liye
238,RomanUrdu,Neutral,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
239,English,Female,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
240,English,Female,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
241,English,Female,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
242,English,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
243,Mixed,Neutral,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein childcare ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
244,English,Male,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha",Semester freeze ke dauran CGPA improve karne ka plan banayein
